1. A	2. D	3. C.	4. B	5. C	6. D	7. C	8. C	9. D	10. C
11. A	12. B	13. C	14. C	15. C	16. C	17. C	18. D	19. C	20. B
21. A	22. B	23. B	24. D	25. A	26. D	27. B	28. B	29. A	30. B
31. D	32. D	33. D	34. C	35. B	36. C	37. A	38. C	39. C	40. A
41. B	42. B	43. C	44. C	45. A	46. A	47. D	48. A	49. C	50. D
51. C	52. C	53. C	54. C	55. A	56. C	57. B	58. B	59. C	60. D
61. A	62. B	63. A	64. A	65. D	66. D	67. D	68. B	69. A	70. C
71. C	72. B	73. C	74. B	75. A	76. D	77. A	78. A	79. B	80. A
81. A	82. B	83. C	84. D	85. B	86. C	87. C	88. D	89. A	90. D
91. C	92. B	93. C	94. A	95. B	96. B	97. C	98. B	99. C	100. B
101. B	102. B	103. D	104. C	105. C	106. A	107. A	108. A	109. C	110. C
111. A	112. C	113. C	114. B	115. B	116. C	117. C	118. C	119. C	120. C
